ACC_NUCCORE,Host_BIOSAMPLE,IsolationSource_BIOSAMPLE,sample_class
CP057083.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057082.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057081.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057080.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057079.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057078.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057077.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057076.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057074.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057073.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057065.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057064.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057063.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057061.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057060.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057059.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057056.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057054.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057053.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057051.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057044.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057043.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057042.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057041.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057049.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057048.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057047.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057046.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057039.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057032.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057030.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057029.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057021.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057019.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057013.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057011.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP057009.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057008.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057006.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057005.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057004.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057001.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP057000.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056999.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056996.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056995.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056994.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056993.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056992.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056990.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056989.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056988.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056987.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056986.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056984.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056982.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056981.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056980.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056979.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056978.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056977.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056976.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056975.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056960.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056959.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056958.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056957.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056956.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP056950.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056949.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056948.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056946.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056945.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056944.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056943.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056942.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056941.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056935.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056934.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056932.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056931.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056930.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056929.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056926.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056925.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056924.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056923.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056922.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP056915.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056905.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056904.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056903.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056895.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056877.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056875.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056874.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056871.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056869.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056868.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056866.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056849.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056848.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056847.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056845.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056844.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056843.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056820.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056819.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056818.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056817.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056815.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056814.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056813.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056812.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056811.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056808.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056807.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056806.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056805.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056804.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056803.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056802.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056801.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056799.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056798.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056797.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056796.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056795.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056792.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056791.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056790.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056789.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056788.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056787.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056349.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056356.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056371.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056454.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056482.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056621.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056634.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056633.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056643.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056619.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056607.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056606.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056605.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056585.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056583.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056582.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056572.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056571.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056570.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056579.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056566.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056563.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056562.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056561.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056558.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056557.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP056494.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056493.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056526.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056525.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056523.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056522.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056521.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056472.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056471.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056420.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056419.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056445.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056444.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056443.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056442.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056398.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056397.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056360.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056359.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056358.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056661.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056660.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056659.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056658.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056657.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056656.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056631.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056630.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056629.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056628.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056627.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056626.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056616.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056615.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056614.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056611.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056610.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056609.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056602.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056601.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056600.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056599.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056450.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056449.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056448.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056447.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056408.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056407.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056406.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056405.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056770.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056769.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056768.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056767.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056179.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056178.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056177.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056176.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056175.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056545.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056544.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056543.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056542.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056541.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056540.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056504.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056503.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056502.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056501.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056500.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056499.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056498.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056497.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056496.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056480.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056479.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056478.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056477.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056476.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056475.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056465.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056464.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056463.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056462.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056461.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056417.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056416.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056415.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056414.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056413.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056675.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056674.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056673.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056672.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056671.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056670.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056669.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056320.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056319.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056318.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056317.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056316.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056306.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056305.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056300.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056283.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056281.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056280.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056279.1,Wastewater effluent sample,Wastewater effluent sample,Env.
CP056274.1,Freshwater sample from downstream of wastewater treatment plant,Freshwater sample from downstream of wastewater treatment plant,Env.
CP056266.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056265.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056264.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056250.1,Wastewater influent sample,Wastewater influent sample,Env.
CP056243.1,Freshwater sample from upstream of wastewater treatment plant,Freshwater sample from upstream of wastewater treatment plant,Env.
CP055630.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055629.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055628.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055627.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055626.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055625.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055674.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055673.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055672.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055671.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055670.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055717.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP055716.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP055715.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP055714.1,Pooled sheep faecal samples collected from floor of farm,Pooled sheep faecal samples collected from floor of farm,Animal
CP055735.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055734.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055733.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055732.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055731.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055730.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055729.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055728.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055727.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055726.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055725.1,Pooled pig faecal samples collected from floor of farm,Pooled pig faecal samples collected from floor of farm,Animal
CP055752.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP055751.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP055750.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP055749.1,Pooled cattle faecal samples collected from floor of farm,Pooled cattle faecal samples collected from floor of farm,Animal
CP045669.1,Stream water,Stream water,Env.
CP045668.1,Stream water,Stream water,Env.
CP045667.1,Stream water,Stream water,Env.
CP045666.1,Stream water,Stream water,Env.
CP030802.1,shrimp,,Animal
CP030801.1,shrimp,,Animal
CP030800.1,shrimp,,Animal
CP045440.1,Homo sapiens,HA-MRSA blood clinical site,Human
CP039630.1,sludge,sludge from bioreactor treating oxytetracycline bearing wastewater,Env.
CP039629.1,sludge,sludge from bioreactor treating oxytetracycline bearing wastewater,Env.
CP039628.1,sludge,sludge from bioreactor treating oxytetracycline bearing wastewater,Env.
CP039627.1,sludge,sludge from bioreactor treating oxytetracycline bearing wastewater,Env.
CP058543.1,seawater,seawater,Env.
CP058542.1,seawater,seawater,Env.
CP058541.1,seawater,seawater,Env.
CP058540.1,seawater,seawater,Env.
CP058539.1,seawater,seawater,Env.
CP058538.1,seawater,seawater,Env.
CP058537.1,seawater,seawater,Env.
CP058536.1,seawater,seawater,Env.
CP058535.1,seawater,seawater,Env.
CP045443.1,Homo sapiens,CA-MRSA blood site,Human
CP058806.1,Homo sapiens,blood,Human
CP058805.1,Homo sapiens,blood,Human
CP058804.1,Homo sapiens,blood,Human
CP058803.1,Homo sapiens,blood,Human
CP058802.1,Homo sapiens,blood,Human
CP058801.1,Homo sapiens,blood,Human
CP058800.1,Homo sapiens,blood,Human
